----------------------------------------------
Running adaptive_learning_rate learning with:
	 learning_rate's increase_rate: 1.05
	 learning_rate's decrease_rate: 0.8
	 Left out approach: True
	 max_epoch: 80
	 learning_rate: 0.2
	 batch_size: None
----------------------------------------------
Preparation took 0.03575444221496582 seconds
Using 0.3333 of the data to validate.
---
Ran 81.21094584465027 seconds.
MSE
Total MSE after epoch 0 is 117.2068315570652
Total MSE after epoch 1 is 114.98260546913258
Total MSE after epoch 2 is 289.58495861342016
Total MSE after epoch 3 is 283.0659226111896
Total MSE after epoch 4 is 45.05296022564752
Total MSE after epoch 5 is 44.626451558370285
Total MSE after epoch 6 is 245.7731649882532
Total MSE after epoch 7 is 240.3457020808099
Total MSE after epoch 8 is 36.33418340600594
Total MSE after epoch 9 is 36.12490351226856
Total MSE after epoch 10 is 28.29063606013051
Total MSE after epoch 11 is 28.281761562814996
Total MSE after epoch 12 is 48.10816393797139
Total MSE after epoch 13 is 47.605534712837084
Total MSE after epoch 14 is 362.82431066447344
Total MSE after epoch 15 is 354.48051243354774
Total MSE after epoch 16 is 220.42791065946005
Total MSE after epoch 17 is 215.63192606907788
Total MSE after epoch 18 is 312.99518774866425
Total MSE after epoch 19 is 305.8928846817371
Total MSE after epoch 20 is 54.970737523949424
Total MSE after epoch 21 is 54.297126924449515
Total MSE after epoch 22 is 261.7324837468594
Total MSE after epoch 23 is 255.9073935905281
Total MSE after epoch 24 is 205.97292422351447
Total MSE after epoch 25 is 201.5370863647176
Total MSE after epoch 26 is 225.37160049833028
Total MSE after epoch 27 is 220.45244362097782
Total MSE after epoch 28 is 76.51480742998771
Total MSE after epoch 29 is 75.30442521910739
Total MSE after epoch 30 is 30.686751745129655
Total MSE after epoch 31 is 30.618177902105543
Total MSE after epoch 32 is 362.82431066447344
Total MSE after epoch 33 is 354.48051243354774
Total MSE after epoch 34 is 161.86386947756802
Total MSE after epoch 35 is 158.52701098969374
Total MSE after epoch 36 is 251.03025739434443
Total MSE after epoch 37 is 245.471813758826
Total MSE after epoch 38 is 251.03025739434443
Total MSE after epoch 39 is 245.471813758826
Total MSE after epoch 40 is 45.05296022564752
Total MSE after epoch 41 is 44.626451558370285
Total MSE after epoch 42 is 110.64151909186673
Total MSE after epoch 43 is 108.58086810216442
Total MSE after epoch 44 is 325.0763853969515
Total MSE after epoch 45 is 317.67307866835034
Total MSE after epoch 46 is 210.7285725220521
Total MSE after epoch 47 is 206.1742474409478
Total MSE after epoch 48 is 35.339365914119625
Total MSE after epoch 49 is 35.154871949432696
Total MSE after epoch 50 is 205.97292422351447
Total MSE after epoch 51 is 201.5370863647176
Total MSE after epoch 52 is 170.1842363192037
Total MSE after epoch 53 is 166.64007546291256
Total MSE after epoch 54 is 42.2484785671004
Total MSE after epoch 55 is 41.89184370479645
Total MSE after epoch 56 is 192.08206240856651
Total MSE after epoch 57 is 187.99231608736642
Total MSE after epoch 58 is 104.32692868044495
Total MSE after epoch 59 is 102.42360603608918
Total MSE after epoch 60 is 28.83861923468679
Total MSE after epoch 61 is 28.816091708352225
Total MSE after epoch 62 is 124.02286607604043
Total MSE after epoch 63 is 121.6288181369937
Total MSE after epoch 64 is 104.32692868044495
Total MSE after epoch 65 is 102.42360603608918
Total MSE after epoch 66 is 174.43844051018795
Total MSE after epoch 67 is 170.78828593735682
Total MSE after epoch 68 is 34.40722893567749
Total MSE after epoch 69 is 34.24595921182007
Total MSE after epoch 70 is 71.70454934122654
Total MSE after epoch 71 is 70.61401495838987
Total MSE after epoch 72 is 272.6854321531511
Total MSE after epoch 73 is 266.5874487231229
Total MSE after epoch 74 is 62.83619932503447
Total MSE after epoch 75 is 61.96662033963379
Total MSE after epoch 76 is 187.57713616380556
Total MSE after epoch 77 is 183.5996303120292
Total MSE after epoch 78 is 51.414089704072005
Total MSE after epoch 79 is 50.82909316819681
Total MSE after epoch 80 is 301.1647121541538
Total MSE after epoch 81 is 294.3571659960169
Total MSE after epoch 82 is 120.5835085598307
Total MSE after epoch 83 is 118.27515239045155
Total MSE after epoch 84 is 92.44991401893179
Total MSE after epoch 85 is 90.84250780661755
Total MSE after epoch 86 is 53.161073357288615
Total MSE after epoch 87 is 52.532550633711544
Total MSE after epoch 88 is 272.6854321531511
Total MSE after epoch 89 is 266.5874487231229
Total MSE after epoch 90 is 215.54690133403398
Total MSE after epoch 91 is 210.8725273424012
Total MSE after epoch 92 is 349.9909468548561
Total MSE after epoch 93 is 341.9668925442557
Total MSE after epoch 94 is 131.08962264879244
Total MSE after epoch 95 is 128.5195061057478
Total MSE after epoch 96 is 46.549221825087365
Total MSE after epoch 97 is 46.085433722992065
Total MSE after epoch 98 is 215.54690133403398
Total MSE after epoch 99 is 210.8725273424012
Total MSE after epoch 100 is 64.95926605891619
Total MSE after epoch 101 is 64.03679075648795
Total MSE after epoch 102 is 343.66828572021365
Total MSE after epoch 103 is 335.80176083744453
Total MSE after epoch 104 is 31.305486156350835
Total MSE after epoch 105 is 31.221496513601966
Total MSE after epoch 106 is 267.1776176932831
Total MSE after epoch 107 is 261.2168617442139
Total MSE after epoch 108 is 42.2484785671004
Total MSE after epoch 109 is 41.89184370479645
Total MSE after epoch 110 is 38.51185993011116
Total MSE after epoch 111 is 38.24832311361
Total MSE after epoch 112 is 301.1647121541538
Total MSE after epoch 113 is 294.3571659960169
Total MSE after epoch 114 is 38.51185993011116
Total MSE after epoch 115 is 38.24832311361
Total MSE after epoch 116 is 142.15986135875184
Total MSE after epoch 117 is 139.31392924805328
Total MSE after epoch 118 is 362.82431066447344
Total MSE after epoch 119 is 354.48051243354774
Total MSE after epoch 120 is 53.161073357288615
Total MSE after epoch 121 is 52.532550633711544
