----------------------------------------------
Running adaptive_learning_rate learning with:
	 learning_rate's increase_rate: 1.05
	 learning_rate's decrease_rate: 0.8
	 Left out approach: True
	 max_epoch: 80
	 learning_rate: 0.2
	 batch_size: None
----------------------------------------------
Preparation took 0.06792593002319336 seconds
Using 0.3333 of the data to validate.
---
Ran 77.05904126167297 seconds.
MSE
Total MSE after epoch 0 is 34.01570039775622
Total MSE after epoch 1 is 33.73430050711162
Total MSE after epoch 2 is 95.32116592521065
Total MSE after epoch 3 is 94.49144216643849
Total MSE after epoch 4 is 8.475400157661994
Total MSE after epoch 5 is 8.422435955422928
Total MSE after epoch 6 is 79.72548724853273
Total MSE after epoch 7 is 79.0352532201541
Total MSE after epoch 8 is 5.418161786177072
Total MSE after epoch 9 is 5.392541912134811
Total MSE after epoch 10 is 2.653803670200461
Total MSE after epoch 11 is 2.652908566160369
Total MSE after epoch 12 is 9.550591701335934
Total MSE after epoch 13 is 9.4880108494045
Total MSE after epoch 14 is 121.40394882165177
Total MSE after epoch 15 is 120.34093734071232
Total MSE after epoch 16 is 70.70653064766147
Total MSE after epoch 17 is 70.09696331233077
Total MSE after epoch 18 is 103.65685823983442
Total MSE after epoch 19 is 102.75257899055018
Total MSE after epoch 20 is 11.969901276826254
Total MSE after epoch 21 is 11.885681812852367
Total MSE after epoch 22 is 85.40578769719791
Total MSE after epoch 23 is 84.66474834033284
Total MSE after epoch 24 is 65.56408317528117
Total MSE after epoch 25 is 65.0005105431215
Total MSE after epoch 26 is 72.46550088647867
Total MSE after epoch 27 is 71.84020109798129
Total MSE after epoch 28 is 19.586913063049554
Total MSE after epoch 29 is 19.4345660784662
Total MSE after epoch 30 is 3.4590399079404146
Total MSE after epoch 31 is 3.450942668742626
Total MSE after epoch 32 is 121.40394882165177
Total MSE after epoch 33 is 120.34093734071232
Total MSE after epoch 34 is 49.87927674478497
Total MSE after epoch 35 is 49.455991012966145
Total MSE after epoch 36 is 81.59651019074266
Total MSE after epoch 37 is 80.88954149558994
Total MSE after epoch 38 is 81.59651019074266
Total MSE after epoch 39 is 80.88954149558994
Total MSE after epoch 40 is 8.475400157661994
Total MSE after epoch 41 is 8.422435955422928
Total MSE after epoch 42 is 31.685518576084263
Total MSE after epoch 43 is 31.424960127534703
Total MSE after epoch 44 is 107.9591676412175
Total MSE after epoch 45 is 107.01640799034836
Total MSE after epoch 46 is 67.25582179206275
