----------------------------------------------
Running adaptive_learning_rate learning with:
	 learning_rate's increase_rate: 1.05
	 learning_rate's decrease_rate: 0.8
	 Left out approach: True
	 max_epoch: 80
	 learning_rate: 0.2
	 batch_size: None
----------------------------------------------
Preparation took 0.07997679710388184 seconds
Using 0.3333 of the data to validate.
---
Ran 80.10629534721375 seconds.
MSE
Total MSE after epoch 0 is 72.91982127297555
Total MSE after epoch 1 is 72.68676267059453
Total MSE after epoch 2 is 128.94160471782737
Total MSE after epoch 3 is 128.2452347741276
Total MSE after epoch 4 is 49.824890767490245
Total MSE after epoch 5 is 49.78283185437647
Total MSE after epoch 6 is 114.66133407266636
Total MSE after epoch 7 is 114.08306482016484
Total MSE after epoch 8 is 47.11910965743209
Total MSE after epoch 9 is 47.09942809466904
Total MSE after epoch 10 is 44.7874828161697
Total MSE after epoch 11 is 44.787084273204506
Total MSE after epoch 12 is 50.784436907591726
Total MSE after epoch 13 is 50.73444235619781
Total MSE after epoch 14 is 152.8482216581298
Total MSE after epoch 15 is 151.9541392161852
Total MSE after epoch 16 is 106.40951372450913
Total MSE after epoch 17 is 105.89948867486484
Total MSE after epoch 18 is 136.57898223492012
Total MSE after epoch 19 is 135.81944965333165
Total MSE after epoch 20 is 52.95215028505085
Total MSE after epoch 21 is 52.88422831095189
Total MSE after epoch 22 is 119.8610473788167
Total MSE after epoch 23 is 119.2397754584563
Total MSE after epoch 24 is 101.70704261287091
Total MSE after epoch 25 is 101.2359079387961
Total MSE after epoch 26 is 108.01844094459791
Total MSE after epoch 27 is 107.49510974540627
Total MSE after epoch 28 is 59.82172346269241
Total MSE after epoch 29 is 59.69698874598672
Total MSE after epoch 30 is 45.42853136116959
Total MSE after epoch 31 is 45.422831218666325
Total MSE after epoch 32 is 152.8482216581298
Total MSE after epoch 33 is 151.9541392161852
Total MSE after epoch 34 is 87.37883651754723
Total MSE after epoch 35 is 87.02619897042044
Total MSE after epoch 36 is 116.37385341661178
Total MSE after epoch 37 is 115.78142128700271
Total MSE after epoch 38 is 116.37385341661178
Total MSE after epoch 39 is 115.78142128700271
Total MSE after epoch 40 is 49.824890767490245
Total MSE after epoch 41 is 49.78283185437647
Total MSE after epoch 42 is 70.80004334567901
Total MSE after epoch 43 is 70.58451573025349
Total MSE after epoch 44 is 140.52198154209452
Total MSE after epoch 45 is 139.72983956848935
Total MSE after epoch 46 is 103.25381455864569
Total MSE after epoch 47 is 102.76988777155971
Total MSE after epoch 48 is 46.81544319793772
Total MSE after epoch 49 is 46.79827301746221
Total MSE after epoch 50 is 101.70704261287091
Total MSE after epoch 51 is 101.2359079387961
Total MSE after epoch 52 is 90.07873033844123
Total MSE after epoch 53 is 89.7037641300213
Total MSE after epoch 54 is 48.94821832647405
Total MSE after epoch 55 is 48.91340966959222
Total MSE after epoch 56 is 97.19103732417476
Total MSE after epoch 57 is 96.75725091606095
Total MSE after epoch 58 is 68.76313911746784
Total MSE after epoch 59 is 68.56445710694956
Total MSE after epoch 60 is 44.91829196541764
Total MSE after epoch 61 is 44.916811604654676
Total MSE after epoch 62 is 75.12247289935743
Total MSE after epoch 63 is 74.87119792797272
Total MSE after epoch 64 is 68.76313911746784
Total MSE after epoch 65 is 68.56445710694956
Total MSE after epoch 66 is 91.45975488604525
Total MSE after epoch 67 is 91.0733673287107
Total MSE after epoch 68 is 46.53249516321468
Total MSE after epoch 69 is 46.5176650195147
Total MSE after epoch 70 is 58.282061428993366
Total MSE after epoch 71 is 58.17006002490552
Total MSE after epoch 72 is 123.431115040107
Total MSE after epoch 73 is 122.78031794694692
Total MSE after epoch 74 is 55.45135845885141
Total MSE after epoch 75 is 55.36276753385446
Total MSE after epoch 76 is 95.72713907748536
Total MSE after epoch 77 is 95.30545940033448
Total MSE after epoch 78 is 51.82685674677863
Total MSE after epoch 79 is 51.768241175056296
Total MSE after epoch 80 is 132.71885662683113
Total MSE after epoch 81 is 131.991248055211
Total MSE after epoch 82 is 74.01078787378079
Total MSE after epoch 83 is 73.76870675965397
Total MSE after epoch 84 is 64.9379517583016
Total MSE after epoch 85 is 64.77090481145308
Total MSE after epoch 86 is 52.37914430352906
Total MSE after epoch 87 is 52.31596120337447
Total MSE after epoch 88 is 123.431115040107
Total MSE after epoch 89 is 122.78031794694692
Total MSE after epoch 90 is 104.82130492919174
Total MSE after epoch 91 is 104.3244146835826
Total MSE after epoch 92 is 148.6566012536993
Total MSE after epoch 93 is 147.79718434991605
Total MSE after epoch 94 is 77.40799822482465
Total MSE after epoch 95 is 77.13782150238801
Total MSE after epoch 96 is 50.2943046251553
Total MSE after epoch 97 is 50.24836356565748
