% MSE
(0,3277.695490277801)

(1,1250.3589833164049)

(2,1104.4697123220412)

(3,1057.3153672965773)

(4,1018.4133501128109)

(5,984.336707060496)

(6,954.6342893248952)

(7,928.9076288224599)

(8,906.7589329285652)

(9,887.7980249454513)

(10,871.6491292549548)

(11,857.9566966184659)

(12,846.3900873947853)

(13,836.6469956379833)

(14,828.4555684173645)

(15,821.5752484177614)

(16,5507.888902433795)

(17,1155.9994070498367)

(18,936.2316271258985)

(19,922.1514366700469)

(20,915.210119500528)

(21,908.6856700792558)

(22,902.4454604681049)

(23,896.4889772873113)

(24,890.8157326775167)

(25,885.424038166233)

(26,880.3110369865791)

(27,875.4727327574465)

(28,870.9040110577766)

(29,866.5986553001371)

(30,862.5493598162022)

(31,858.747744396797)

(32,855.1843755156983)

(33,10267.799201645368)

(34,2351.864080649602)

(35,1791.8795873945187)

(36,1619.2797827685793)

(37,1480.1337248975256)

(38,1360.7916651432297)

(39,1259.2358238367199)

(40,1173.6593003871942)

(41,1102.267577192553)

(42,1043.310136978167)

(43,995.1110214366919)

(44,956.0950462596055)

(45,924.8088440932391)

(46,899.9361926762836)

(47,880.3074004891671)

(48,864.9028492898822)

(49,852.8511062237322)

(50,843.4222923098855)

(51,836.0176066572063)

(52,830.1560401978994)

(53,825.4593604840705)

(54,821.6364107936114)

(55,818.4676522350867)

(56,815.7907043700163)

(57,813.4874310842739)

(58,811.4728991171725)

(59,809.6863304427164)

(60,808.0839956729707)

(61,806.6338661360621)

(62,805.3117619231564)

(63,804.0986994597803)

(64,802.9791469387959)

(65,801.9399279397218)

(66,800.9695607028627)

(67,800.0578721420375)

(68,799.1957738008052)

(69,798.3751268281318)

(70,797.5886528652167)

(71,796.8298678975067)

(72,796.0930283315399)

(73,795.3730849774131)

(74,794.6656433368743)

(75,793.9669296317855)

(76,793.2737721731629)

(77,792.5839172836938)

(78,791.9073110909977)

(79,791.6821470023781)

(80,3092.1189203151785)

(81,1384.8692925026185)

(82,1236.9822175529557)

(83,1173.5632907815384)

% MSE_test
(0,3505.6321322768654)(1,1073.613524251902)(2,837.3978540941805)(3,783.7969838147794)(4,755.348501806084)(5,734.02734715228)(6,716.928413616903)(7,703.3252961758759)(8,692.7545438090483)(9,684.7854989939148)(10,679.0115932618756)(11,675.0563642305624)(12,672.5781122884237)(13,671.2729948115756)(14,670.8765352016044)(15,671.1636054589582)(16,6122.371589406436)(17,1114.054657062771)(18,732.7182245547436)(19,691.9052586611527)(20,685.5211864697999)(21,683.6253100163592)(22,682.3087470736541)(23,681.1489625757488)(24,680.1221874491268)(25,679.2300452977994)(26,678.4746856734051)(27,677.8585390615635)(28,677.384145710653)(29,677.053931400862)(30,676.8699484983441)(31,676.8335934562231)(32,676.945316084439)(33,11201.543325744951)(34,2842.3107516336645)(35,2118.537149614408)(36,1886.0319010423093)(37,1712.6654916068871)(38,1565.931563932261)(39,1440.3558666101296)(40,1333.5006970056102)(41,1243.2895620005406)(42,1167.7132182368675)(43,1104.8416921690243)(44,1052.854537752)(45,1010.0655111566509)(46,974.9409021368514)(47,946.1112494930353)(48,922.3765199077812)(49,902.7051786015197)(50,886.2278841607944)(51,872.2267765809524)(52,860.1214782022871)(53,849.4529829620872)(54,839.866571153691)(55,831.0947659269672)(56,822.9411636996465)(57,815.2657488715444)(58,807.9720710035488)(59,800.996445371434)(60,794.2991555009353)(61,787.8575014289592)(62,781.6604538458943)(63,775.7046384696202)(64,769.9913771733117)(65,764.5245410488848)(66,759.3090113830989)(67,754.3495913548254)(68,749.6502457353188)(69,745.2135955643516)(70,741.0405656383963)(71,737.1302769701682)(72,733.4796535559645)(73,730.0846481955575)(74,726.9350737307373)(75,724.0383592579165)(76,721.3058391678193)(77,719.1361214518232)(78,715.2568844773001)(79,723.4302605784204)(80,2395.3643528870034)(81,1139.166798704271)(82,1093.3615207863245)(83,1052.712495226278)

% MSSE
