% MSE
(0,4071.202905209535)

(1,3339.776670990285)

(2,3268.268079935693)

(3,3235.666268849541)

(4,3207.6524128378237)

(5,3181.304788124511)

(6,3156.2276632056914)

(7,3132.30833660234)

(8,3109.4760716451365)

(9,3087.669095302934)

(10,3066.8298346814054)

(11,3046.9048353267876)

(12,3027.845486651347)

(13,3009.60881824249)

(14,2992.1583655492523)

(15,2975.465745427939)

(16,2959.5156198648847)

(17,6624.293801785595)

(18,4116.483569016475)

(19,3898.0274565632467)

(20,3813.212205637541)

(21,3743.020064666773)

(22,3677.4307062449247)

(23,3615.1926570349274)

(24,3556.033855503306)

(25,3499.821927068306)

(26,3446.4470288923726)

(27,3395.8030963997007)

(28,3347.7857964948907)

(29,3302.2937933401145)

(30,3259.230802082687)

(31,3218.5084292262413)

(32,3180.051999917341)

(33,3143.8186219649824)

(34,3109.867191342872)

(35,3078.6675503598044)

(36,3052.627624347572)

(37,3044.5324252673163)

(38,9841.946796445307)

(39,4793.7808721544)

(40,4386.1385710514505)

(41,4249.164936690073)

(42,4141.534033873135)

(43,4042.8630315023092)

(44,3950.5417382149603)

(45,3863.9431656767033)

(46,3782.721796849786)

(47,3706.576680039692)

(48,3635.2141179262585)

(49,3568.3443476663165)

(50,3505.6850525944055)

(51,3446.9665723907)

(52,3391.9387863687907)

(53,3340.3841004970946)

(54,3292.1552527514186)

(55,3247.318381159616)

(56,3206.7808024769356)

(57,3175.387610005462)

(58,3160.207555938828)

(59,11350.18374981326)

(60,4405.400669712883)

(61,3875.0775080710114)

(62,3723.029365776778)

(63,3615.252475800924)

(64,3522.901003653073)

(65,3441.687343810832)

(66,3370.0866554616828)

(67,3306.9978244776257)

(68,3251.426108227748)

(69,3202.4396177781605)

(70,3159.1706528671807)

(71,3120.8242292845216)

(72,3086.6866810090737)

(73,3056.13439750214)

(74,10985.987806300725)

(75,4862.709968668293)

(76,4374.329501485119)

(77,4216.408601994355)

(78,4095.7431685475744)

(79,3987.314823651308)

(80,3887.686658213308)

(81,3795.8428339488873)

(82,3711.1272670324474)

(83,3632.9594928944607)

(84,3560.791842740588)

% MSE_test
